x,y,Y,diameter,pitch,depth
0.302640844195,0.319755484114,31.2408949219,166.189473,347.897773,341.380308
0.299345595463,0.313613482492,35.2732674738,111.690303,467.750211,336.08652
0.299896296698,0.314684674235,35.8258438374,253.898878,645.185053,61.588962
0.306654242022,0.322137054683,30.3234113508,253.722825,630.524216,427.838797
0.31128498763,0.327067276625,26.0842478418,208.257379,331.549817,409.206887
0.320590913632,0.327809394809,27.3288707562,303.320608,480.874433,198.027716
0.301833204181,0.317795684792,32.8424240813,223.136925,565.144582,229.944039
0.305021018541,0.319870365482,31.4288748957,172.240588,435.988528,485.064824
0.298944701623,0.313317015993,36.4673610181,108.438735,796.723232,108.007955
0.299668340515,0.309061781091,21.7767448975,452.391318,769.148786,346.00978
0.303804707469,0.319581541107,32.8938769985,180.581182,403.73241,217.229822
0.301193072491,0.317423479791,34.1231131965,229.732416,593.879433,153.571964
0.300253069821,0.315167770761,35.2187337898,202.362878,786.969638,220.75113
0.308678111111,0.312463034467,22.5918104651,371.894404,680.644991,419.725605
0.300206030339,0.314821764441,33.8692874767,161.932484,551.561209,463.126491
0.30687410696,0.322010326057,31.1772456757,280.357146,647.120697,257.25182
0.304884592303,0.318138076698,31.8281954673,261.7279,679.555427,305.939712
0.298980020217,0.313359365847,36.3183648299,109.581802,773.58657,201.481486
0.300944351319,0.314972420672,35.034940734,283.754842,694.030981,89.84419
0.330309052414,0.350852173205,21.9795839585,250.988011,347.903223,459.942527
0.2989513333,0.3133254119,35.9493357156,91.00471,540.727392,389.848662
0.303616938179,0.31445705711,33.3049873036,336.032551,526.859112,76.668744
0.30169358502,0.316424694077,33.5536786941,148.278461,403.762837,292.313994
0.305412513419,0.316382466947,18.6718026928,327.539493,553.443427,471.390614
0.299915814003,0.314441750405,35.4386634895,195.333762,759.982164,181.273143
0.303674612612,0.317893652421,33.6811859769,364.113164,673.585017,92.27489
0.301012031337,0.315931150286,33.9336667909,179.898041,624.727583,459.863208
0.306320768329,0.316163658155,18.0486402371,438.858029,635.47766,322.57563
0.305371094484,0.319732151224,32.0143597584,270.943029,658.836971,243.653166
0.299325482717,0.313721646002,35.7645341711,122.869204,649.3203,358.238378
0.304228686695,0.322416378365,30.1154693464,238.659213,573.605186,407.804506
0.319860780929,0.319777233846,19.878059376,394.950174,545.763091,225.794644
0.298979793887,0.313389173234,36.1846308954,103.373327,612.975997,182.291279
0.298559278869,0.313634773839,34.2576608311,105.639356,289.201452,201.582121
0.298860590049,0.313220172924,36.4634001666,70.13054,564.226741,116.962256
0.304418230558,0.317289835847,31.515469511,249.367277,702.735843,440.129322
0.298924235097,0.313307921544,36.2264854072,157.153799,559.661036,53.048647
0.333216689725,0.295904823179,13.2702919799,388.520831,525.933369,344.723972
0.300481887277,0.315933229751,35.0015384806,219.846911,612.98935,119.661681
0.309998462687,0.324273001796,17.4066958959,435.896604,568.860356,238.575153
0.298859506708,0.313197624126,36.1852165655,62.228717,442.692174,361.485694
0.301058748302,0.315027126258,33.5777391322,193.247934,534.741966,232.928303
0.30937557236,0.323465550787,32.289857838,310.085932,472.069071,101.428565
0.298910682768,0.313296357438,36.6167014907,57.418468,773.198863,138.948933
0.319771356951,0.318738837761,23.5920071008,325.830622,521.487026,247.785662
0.304633034933,0.317286975663,29.7934908726,154.993512,261.940524,300.360822
0.299055333407,0.31341653866,35.7433702909,104.262942,462.720631,197.066554
0.299958042384,0.314775930493,34.9181991276,154.151007,610.252092,372.512851
0.313042612485,0.316825499609,22.0020934557,433.792975,679.430289,269.754811
0.30551353669,0.316612274395,32.2594636278,262.752945,496.309665,132.000564
0.303412077333,0.320803658136,34.8011195107,289.526629,429.95354,61.516559
0.29972232573,0.314281467161,34.6998582583,147.188097,554.380938,376.659711
0.299446706662,0.314149314552,33.0010688327,164.344419,303.783079,137.143533
0.304813814839,0.316107453145,30.5227830211,202.172254,489.451181,424.004892
0.298923854376,0.313163702835,35.6395923758,96.369567,359.513806,128.923987
0.301340572333,0.30943210109,25.8684141214,128.528721,190.351591,494.394179
0.310977475006,0.325568408681,23.3310914833,347.310455,627.224652,385.190926
